Invoice/Item Number,Date,Store Number,City,Zip Code,Item Number,Item Description,Pack,Bottle Volume (ml),Bottles Sold,Sale (Dollars),Volume Sold (Liters)
INV-11225000001,03/30/2018,3773,Cedar Rapids,52401,19226,Knob Creek,6,750,2,$179.46,1.50
INV-11224900025,03/30/2018,4453,Forest City,50436,65251,Jagermeister Liqueur Mini,5,1200,1,$44.30,1.20
INV-11224900024,03/30/2018,4453,Forest City,50436,73051,Rumchata Mini,12,500,2,$13.31,1.00
INV-11224900023,03/30/2018,4453,Forest City,50436,73052,Rumchata,12,375,1,$10.50,0.37
INV-11224900022,03/30/2018,4453,Forest City,50436,75211,Kinky Liqueur,12,750,1,$15.00,0.75
INV-11224900021,03/30/2018,4453,Forest City,50436,29998,Five O'clock Gin,6,1750,1,$11.00,1.75
INV-11224900020,03/30/2018,4453,Forest City,50436,43501,Bacardi Raspberry,12,750,2,$12.38,1.50
INV-11224900019,03/30/2018,4453,Forest City,50436,42699,Malibu Mango Rum,12,750,3,$11.24,2.25
INV-11224900018,03/30/2018,4453,Forest City,50436,67266,Yukon Jack Canadian Liqueur,12,750,1,$13.88,0.75
INV-11224900017,03/30/2018,4453,Forest City,50436,8825,Lauder's Scotch Traveler,12,750,1,$7.70,0.75
INV-11224900016,03/30/2018,4453,Forest City,50436,41076,Jeremiah Weed Sweet Tea Vodka,12,750,1,$15.09,0.75
INV-11224900015,03/30/2018,4453,Forest City,50436,19064,Jim Beam,24,375,1,$8.25,0.37
INV-11224900014,03/30/2018,4453,Forest City,50436,67264,Yukon Jack Canadian Liqueur,24,375,1,$7.88,0.37
INV-11224900013,03/30/2018,4453,Forest City,50436,48106,Hennessy Vs Cognac,12,750,3,$29.99,2.25
INV-11224900012,03/30/2018,4453,Forest City,50436,76038,Midnight Moon Cherry,6,750,1,$17.25,0.75
INV-11224900011,03/30/2018,4453,Forest City,50436,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,1,$45.00,3.00
INV-11224900010,03/30/2018,4453,Forest City,50436,43024,Admiral Nelson Spiced Rum,24,375,1,$98.64,0.37
INV-11224900009,03/30/2018,4453,Forest City,50436,37994,Smirnoff 80prf,24,375,1,$171.12,0.37
INV-11224900008,03/30/2018,4453,Forest City,50436,12404,Canadian Ltd Whisky,24,375,1,$73.92,0.37
INV-11224900007,03/30/2018,4453,Forest City,50436,11788,Black Velvet,6,1750,1,$94.08,1.75
INV-11224900006,03/30/2018,4453,Forest City,50436,36304,Hawkeye Vodka,24,375,1,$66.96,0.37
INV-11224900005,03/30/2018,4453,Forest City,50436,12407,Canadian Ltd Whisky,12,1000,1,$99.00,1.00
INV-11224900004,03/30/2018,4453,Forest City,50436,12668,Canadian Woods Canadian Why,6,1750,1,$85.44,1.75
INV-11224900003,03/30/2018,4453,Forest City,50436,43028,Admiral Nelson Spiced Rum,6,1750,1,$103.98,1.75
INV-11224900002,03/30/2018,4453,Forest City,50436,37347,Phillips Vodka,12,1000,1,$77.28,1.00
INV-11224900001,03/30/2018,4453,Forest City,50436,37348,Phillips Vodka,6,1750,1,$68.40,1.75
INV-11224800070,03/30/2018,4073,Forest City,50436,36308,Hawkeye Vodka,6,1750,1,$64.56,1.75
INV-11224800069,03/30/2018,4073,Forest City,50436,77324,Rondiaz Rum Spiced Black Cherry,6,1750,1,$90.00,1.75
INV-11224800068,03/30/2018,4073,Forest City,50436,27801,Dr. Peach Whiskey Mini,12,500,1,$7.50,0.50
INV-11224800067,03/30/2018,4073,Forest City,50436,59231,Ice Box Mudslide,6,1750,1,$60.84,1.75
INV-11224800066,03/30/2018,4073,Forest City,50436,58886,Jose Cuervo Light White Peach Margarita,6,1750,1,$78.66,1.75
INV-11224800065,03/30/2018,4073,Forest City,50436,58838,Jose Cuervo Authentic Lime Margarita,6,1750,1,$78.66,1.75
INV-11224800064,03/30/2018,4073,Forest City,50436,64000,Absente,12,750,1,$34.01,0.75
INV-11224800063,03/30/2018,4073,Forest City,50436,65126,Grand Marnier Cordon Rouge,12,750,1,$34.97,0.75
INV-11224800062,03/30/2018,4073,Forest City,50436,86887,Southern Comfort,12,1000,1,$233.52,1.00
INV-11224800061,03/30/2018,4073,Forest City,50436,64867,Fireball Cinnamon Whiskey,12,1000,1,$204.12,1.00
INV-11224800060,03/30/2018,4073,Forest City,50436,64870,Fireball Cinnamon,48,100,1,$64.80,0.10
INV-11224800059,03/30/2018,4073,Forest City,50436,64866,Fireball Cinnamon Whiskey,12,750,1,$162.00,0.75
INV-11224800058,03/30/2018,4073,Forest City,50436,69638,Dr. Mcgillicuddy's Cherry Schnapps,6,1750,1,$131.94,1.75
INV-11224800057,03/30/2018,4073,Forest City,50436,82147,Arrow Raspberry Schnapps,12,1000,1,$90.00,1.00
INV-11224800056,03/30/2018,4073,Forest City,50436,83363,Ice Hole Butterscotch Schnapps,12,750,6,$7.73,4.50
INV-11224800055,03/30/2018,4073,Forest City,50436,65204,Tequila Rose Liqueur Mini,6,500,1,$45.00,0.50
INV-11224800054,03/30/2018,4073,Forest City,50436,65200,Tequila Rose Liqueur,12,750,4,$14.24,3.00
INV-11224800053,03/30/2018,4073,Forest City,50436,65199,Tequila Rose Liqueur,12,1000,4,$17.25,4.00
INV-11224800052,03/30/2018,4073,Forest City,50436,45886,Sailor Jerry Spiced Navy Rum,12,750,5,$14.48,3.75
INV-11224800051,03/30/2018,4073,Forest City,50436,43334,Captain Morgan Spiced Rum,24,375,1,$180.00,0.37
INV-11224800050,03/30/2018,4073,Forest City,50436,1799,Captain Morgan Spiced Barrel,6,1750,1,$162.00,1.75
INV-11224800049,03/30/2018,4073,Forest City,50436,43337,Captain Morgan Spiced Rum,12,1000,2,$211.56,2.00
INV-11224800048,03/30/2018,4073,Forest City,50436,43028,Admiral Nelson Spiced Rum,6,1750,3,$103.98,5.25
INV-11224800047,03/30/2018,4073,Forest City,50436,42703,Malibu Pineapple Rum,12,750,3,$11.24,2.25
INV-11224800046,03/30/2018,4073,Forest City,50436,42699,Malibu Mango Rum,12,750,3,$11.24,2.25
INV-11224800045,03/30/2018,4073,Forest City,50436,43138,Bacardi Limon,6,1750,1,$135.00,1.75
INV-11224800044,03/30/2018,4073,Forest City,50436,43137,Bacardi Limon,12,1000,1,$171.00,1.00
INV-11224800043,03/30/2018,4073,Forest City,50436,45278,Paramount White Rum,6,1750,2,$70.56,3.50
INV-11224800042,03/30/2018,4073,Forest City,50436,43120,Bacardi Superior PET,6,1750,1,$135.00,1.75
INV-11224800041,03/30/2018,4073,Forest City,50436,55088,Paramount Blackberry Brandy,6,1750,1,$101.64,1.75
INV-11224800040,03/30/2018,4073,Forest City,50436,34821,Svedka Vodka,6,1750,1,$117.00,1.75
INV-11224800039,03/30/2018,4073,Forest City,50436,34433,Grey Goose Vodka,12,750,6,$27.74,4.50
INV-11224800038,03/30/2018,4073,Forest City,50436,34422,Grey Goose Vodka,6,1000,1,$202.50,1.00
INV-11224800037,03/30/2018,4073,Forest City,50436,34007,Absolut Swedish Vodka 80 Prf,12,1000,1,$269.88,1.00
INV-11224800036,03/30/2018,4073,Forest City,50436,34006,Absolut Swedish Vodka 80 Prf,12,750,1,$206.88,0.75
INV-11224800035,03/30/2018,4073,Forest City,50436,41692,Uv Blue (raspberry) Vodka,6,1750,1,$98.94,1.75
INV-11224800034,03/30/2018,4073,Forest City,50436,38178,Titos Handmade Vodka,6,1750,1,$166.62,1.75
INV-11224800033,03/30/2018,4073,Forest City,50436,38177,Titos Handmade Vodka,12,1000,1,$228.12,1.00
INV-11224800032,03/30/2018,4073,Forest City,50436,38008,Smirnoff PET 80prf,6,1750,1,$132.78,1.75
INV-11224800031,03/30/2018,4073,Forest City,50436,37348,Phillips Vodka,6,1750,1,$68.40,1.75
INV-11224800030,03/30/2018,4073,Forest City,50436,36978,Nikolai Vodka,6,1750,1,$62.28,1.75
INV-11224800029,03/30/2018,4073,Forest City,50436,36904,Mccormick Vodka Pet,24,375,1,$64.80,0.37
INV-11224800028,03/30/2018,4073,Forest City,50436,36908,Mccormick Vodka Pet,6,1750,1,$67.26,1.75
INV-11224800027,03/30/2018,4073,Forest City,50436,35918,Five O'clock Vodka,6,1750,1,$64.80,1.75
INV-11224800026,03/30/2018,4073,Forest City,50436,35917,Five O'clock Vodka,12,1000,1,$75.12,1.00
INV-11224800025,03/30/2018,4073,Forest City,50436,35318,Barton Vodka,6,1750,2,$62.28,3.50
INV-11224800024,03/30/2018,4073,Forest City,50436,35317,Barton Vodka,12,1000,2,$71.52,2.00
INV-11224800023,03/30/2018,4073,Forest City,50436,87937,Juarez Tequila Silver,12,1000,1,$144.00,1.00
INV-11224800022,03/30/2018,4073,Forest City,50436,87409,Jose Cuervo Especial Silver,12,1000,1,$234.00,1.00
INV-11224800021,03/30/2018,4073,Forest City,50436,87511,1800 Silver,6,1000,1,$139.14,1.00
INV-11224800020,03/30/2018,4073,Forest City,50436,15940,Tullamore Dew Irish Whisky,12,750,3,$22.50,2.25
INV-11224800019,03/30/2018,4073,Forest City,50436,15627,Jameson,12,1000,1,$341.64,1.00
INV-11224800018,03/30/2018,4073,Forest City,50436,10008,Scoresby Rare Scotch,6,1750,1,$94.50,1.75
INV-11224800017,03/30/2018,4073,Forest City,50436,5346,Johnnie Walker Red,12,750,3,$20.25,2.25
INV-11224800016,03/30/2018,4073,Forest City,50436,4716,Chivas Regal 12 Yr,12,750,3,$27.74,2.25
INV-11224800015,03/30/2018,4073,Forest City,50436,15247,Windsor Canadian,12,1000,2,$113.28,2.00
INV-11224800014,03/30/2018,4073,Forest City,50436,12888,Rich & Rare Canadian Whisky,6,1750,1,$80.82,1.75
INV-11224800013,03/30/2018,4073,Forest City,50436,13638,Lord Calvert Canadian Whisky,6,1750,1,$89.76,1.75
INV-11224800012,03/30/2018,4073,Forest City,50436,10808,Crown Royal Regal Apple,12,1000,1,$340.08,1.00
INV-11224800011,03/30/2018,4073,Forest City,50436,11297,Crown Royal Canadian Whisky,12,1000,1,$340.08,1.00
INV-11224800010,03/30/2018,4073,Forest City,50436,12668,Canadian Woods Canadian Why,6,1750,1,$85.44,1.75
INV-11224800009,03/30/2018,4073,Forest City,50436,12407,Canadian Ltd Whisky,12,1000,1,$99.00,1.00
INV-11224800008,03/30/2018,4073,Forest City,50436,11788,Black Velvet,6,1750,2,$94.08,3.50
INV-11224800007,03/30/2018,4073,Forest City,50436,11777,Black Velvet,12,1000,2,$119.40,2.00
INV-11224800006,03/30/2018,4073,Forest City,50436,43426,Don Q Cristal Rum,12,750,1,$117.00,0.75
INV-11224800005,03/30/2018,4073,Forest City,50436,26585,Gentleman Jack,12,375,6,$12.00,2.25
INV-11224800004,03/30/2018,4073,Forest City,50436,21598,Ten High,6,1750,1,$83.16,1.75
INV-11224800003,03/30/2018,4073,Forest City,50436,19068,Jim Beam,6,1750,1,$188.94,1.75
INV-11224800002,03/30/2018,4073,Forest City,50436,19067,Jim Beam,12,1000,1,$226.68,1.00
INV-11224800001,03/30/2018,4073,Forest City,50436,27474,Bird Dog Blackberry Whiskey,6,750,1,$90.00,0.75
INV-11224700025,03/30/2018,4462,Buffalo Center,50424,34433,Grey Goose Vodka,12,750,4,$27.74,3.00
INV-11224700024,03/30/2018,4462,Buffalo Center,50424,12408,Canadian Ltd Whisky,6,1750,1,$82.26,1.75
INV-11224600039,03/30/2018,3842,Bancroft,50517,12888,Rich & Rare Canadian Whisky,6,1750,1,$80.82,1.75
INV-11224600038,03/30/2018,3842,Bancroft,50517,10624,Canadian Club Whisky,24,375,1,$6.68,0.37
INV-11224600037,03/30/2018,3842,Bancroft,50517,27920,Bird Dog Strawberry,6,750,1,$90.00,0.75
INV-11224600036,03/30/2018,3842,Bancroft,50517,86821,Old Camp Peach Pecan Whiskey,12,750,1,$16.25,0.75
INV-11224600035,03/30/2018,3842,Bancroft,50517,82787,Dekuyper Buttershots,12,1000,1,$141.72,1.00
INV-11224600034,03/30/2018,3842,Bancroft,50517,82780,Dekuyper Buttershots PET,12,750,1,$9.71,0.75
INV-11224600033,03/30/2018,3842,Bancroft,50517,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,1,$64.62,1.75
INV-11224600032,03/30/2018,3842,Bancroft,50517,82827,Dekuyper Ragin' Rootbeer,12,1000,1,$141.72,1.00
INV-11224600031,03/30/2018,3842,Bancroft,50517,84617,Phillips Rootbeer Schnapps,12,1000,1,$8.25,1.00
INV-11224600030,03/30/2018,3842,Bancroft,50517,75226,Kinky Red Liqueur,12,750,1,$180.00,0.75
INV-11224600029,03/30/2018,3842,Bancroft,50517,68846,St. Brendan's Superior Irish Cream Liqueur,12,750,1,$11.54,0.75
INV-11224600028,03/30/2018,3842,Bancroft,50517,43127,Bacardi Superior Rum,12,1000,1,$171.00,1.00
INV-11224600027,03/30/2018,3842,Bancroft,50517,42717,Malibu Coconut Rum,12,1000,1,$188.88,1.00
INV-11224600026,03/30/2018,3842,Bancroft,50517,43296,Captain Morgan Silver Spiced Rum,12,750,1,$13.50,0.75
INV-11224600025,03/30/2018,3842,Bancroft,50517,43337,Captain Morgan Spiced Rum,12,1000,2,$211.56,2.00
INV-11224600024,03/30/2018,3842,Bancroft,50517,89197,Jose Cuervo Especial Reposado Tequila,12,1000,1,$234.00,1.00
INV-11224600023,03/30/2018,3842,Bancroft,50517,86637,Tortilla Triple Sec,12,1000,1,$54.24,1.00
INV-11224600022,03/30/2018,3842,Bancroft,50517,52599,E & J Vs Brandy Round,12,1000,1,$130.32,1.00
INV-11224600021,03/30/2018,3842,Bancroft,50517,35917,Five O'clock Vodka,12,1000,1,$75.12,1.00
INV-11224600020,03/30/2018,3842,Bancroft,50517,37356,Phillips Vodka Ez Pack,12,750,1,$64.32,0.75
INV-11224600019,03/30/2018,3842,Bancroft,50517,37347,Phillips Vodka,12,1000,1,$77.28,1.00
INV-11224600018,03/30/2018,3842,Bancroft,50517,41077,Jeremiah Weed Sweet Tea,12,1000,1,$189.00,1.00
INV-11224600017,03/30/2018,3842,Bancroft,50517,37997,Smirnoff 80prf,12,1000,1,$166.56,1.00
INV-11224600016,03/30/2018,3842,Bancroft,50517,38008,Smirnoff PET 80prf,6,1750,1,$132.78,1.75
INV-11224600015,03/30/2018,3842,Bancroft,50517,34007,Absolut Swedish Vodka 80 Prf,12,1000,1,$269.88,1.00
INV-11224600014,03/30/2018,3842,Bancroft,50517,33663,Svedka Strawberry Lemonade,12,750,3,$12.38,2.25
INV-11224600013,03/30/2018,3842,Bancroft,50517,86887,Southern Comfort,12,1000,1,$233.52,1.00
INV-11224600012,03/30/2018,3842,Bancroft,50517,10550,Black Velvet Toasted Caramel,12,750,1,$121.56,0.75
INV-11224600011,03/30/2018,3842,Bancroft,50517,11788,Black Velvet,6,1750,2,$94.08,3.50
INV-11224600010,03/30/2018,3842,Bancroft,50517,11777,Black Velvet,12,1000,3,$119.40,3.00
INV-11224600009,03/30/2018,3842,Bancroft,50517,15247,Windsor Canadian,12,1000,1,$113.28,1.00
INV-11224600008,03/30/2018,3842,Bancroft,50517,27554,Seagrams Seven Crown Dark Honey,12,750,1,$10.50,0.75
INV-11224600007,03/30/2018,3842,Bancroft,50517,22788,Beam's 8 Star Bl Whiskey,6,1750,1,$70.86,1.75
INV-11224600006,03/30/2018,3842,Bancroft,50517,15940,Tullamore Dew Irish Whisky,12,750,1,$22.50,0.75
INV-11224600005,03/30/2018,3842,Bancroft,50517,15628,Jameson,6,1750,1,$46.47,1.75
INV-11224600004,03/30/2018,3842,Bancroft,50517,11296,Crown Royal,12,750,2,$23.39,1.50
INV-11224600003,03/30/2018,3842,Bancroft,50517,26656,George Dickel #12,12,750,1,$20.25,0.75
INV-11224600002,03/30/2018,3842,Bancroft,50517,30058,Fleischmann's Gin,6,1750,2,$14.04,3.50
INV-11224600001,03/30/2018,3842,Bancroft,50517,59169,1800 Ultimate Jalape�o Lime,6,1750,2,$15.06,3.50
INV-11224500001,03/30/2018,3842,Bancroft,50517,935466,Van Gogh Dutch Caramel Vodka,6,750,2,$118.56,1.50
INV-11224400081,03/30/2018,2585,Algona,50511,11788,Black Velvet,6,1750,10,$94.08,17.50
INV-11224400080,03/30/2018,2585,Algona,50511,81196,Paramount Peppermint Schnapps Traveler,12,750,5,$6.00,3.75
INV-11224400079,03/30/2018,2585,Algona,50511,82826,Dekuyper Ragin' Rootbeer,12,750,5,$9.71,3.75
INV-11224400078,03/30/2018,2585,Algona,50511,42676,Malibu Passion Fruit Rum,12,750,5,$11.24,3.75
INV-11224400077,03/30/2018,2585,Algona,50511,82607,Dekuyper Sour Apple Pucker,12,1000,6,$11.81,6.00
INV-11224400076,03/30/2018,2585,Algona,50511,43226,Captain Morgan Parrot Bay Passion Fruit,12,750,5,$11.24,3.75
INV-11224400075,03/30/2018,2585,Algona,50511,65126,Grand Marnier Cordon Rouge,12,750,3,$34.97,2.25
INV-11224400074,03/30/2018,2585,Algona,50511,54446,Paramount Apricot Flavored Brandy,12,750,6,$8.22,4.50
INV-11224400073,03/30/2018,2585,Algona,50511,86796,Southern Host Whiskey Liqueur,12,750,6,$8.06,4.50
INV-11224400072,03/30/2018,2585,Algona,50511,28043,Jim Beam Vanilla,12,750,5,$15.74,3.75
INV-11224400071,03/30/2018,2585,Algona,50511,27544,Red Stag Black Cherry,12,750,6,$15.74,4.50
INV-11224400070,03/30/2018,2585,Algona,50511,19112,Jim Beam Devil's Cut,12,750,6,$22.61,4.50
INV-11224400069,03/30/2018,2585,Algona,50511,16676,Basil Hayden 8YR,6,750,2,$31.50,1.50
INV-11224400068,03/30/2018,2585,Algona,50511,19486,Maker's 46,6,750,3,$31.49,2.25
INV-11224400067,03/30/2018,2585,Algona,50511,21236,Ridgemont Reserve 1792,6,750,3,$24.18,2.25
INV-11224400066,03/30/2018,2585,Algona,50511,22216,Woodford Reserve Bourbon,6,750,2,$33.74,1.50
INV-11224400065,03/30/2018,2585,Algona,50511,10632,Canadian Club Reserve Triple Aged,12,750,4,$14.96,3.00
INV-11224400064,03/30/2018,2585,Algona,50511,41707,Phillips Lime Vodka,12,1000,6,$8.67,6.00
INV-11224400063,03/30/2018,2585,Algona,50511,35626,Pinnacle Whipped,12,750,6,$11.03,4.50
INV-11224400062,03/30/2018,2585,Algona,50511,5346,Johnnie Walker Red,12,750,5,$20.25,3.75
INV-11224400061,03/30/2018,2585,Algona,50511,5605,Johnnie Walker Blenders Batch Wine Cask Blend,12,750,5,$22.49,3.75
INV-11224400060,03/30/2018,2585,Algona,50511,36447,Ingenioz,12,750,6,$18.81,4.50
INV-11224400059,03/30/2018,2585,Algona,50511,89496,Margaritaville Gold Tequila,12,750,5,$11.27,3.75
INV-11224400058,03/30/2018,2585,Algona,50511,38179,Titos Handmade Vodka,24,200,4,$5.24,0.80
INV-11224400057,03/30/2018,2585,Algona,50511,25604,Seagrams 7 Crown Bl Whiskey,24,375,6,$5.25,2.25
INV-11224400056,03/30/2018,2585,Algona,50511,89194,Jose Cuervo Especial Reposado Flask,24,375,6,$8.25,2.25
INV-11224400055,03/30/2018,2585,Algona,50511,37414,Popov Vodka 80 Prf,24,375,5,$4.50,1.87
INV-11224400054,03/30/2018,2585,Algona,50511,65204,Tequila Rose Liqueur Mini,6,500,1,$7.50,0.50
INV-11224400053,03/30/2018,2585,Algona,50511,73051,Rumchata Mini,12,500,1,$13.31,0.50
INV-11224400052,03/30/2018,2585,Algona,50511,65254,Jagermeister Liqueur,24,375,5,$9.78,1.87
INV-11224400051,03/30/2018,2585,Algona,50511,84172,99 Bananas Mini,10,600,2,$9.00,1.20
INV-11224400050,03/30/2018,2585,Algona,50511,84207,99 Rootbeer Mini,10,600,2,$9.00,1.20
INV-11224400049,03/30/2018,2585,Algona,50511,84197,99 Pineapple Mini,10,600,2,$9.00,1.20
INV-11224400048,03/30/2018,2585,Algona,50511,64636,Campari Italian Aperitivo,12,750,1,$22.50,0.75
INV-11224400047,03/30/2018,2585,Algona,50511,43028,Admiral Nelson Spiced Rum,6,1750,12,$103.98,21.00
INV-11224400046,03/30/2018,2585,Algona,50511,43986,Admiral Nelson Cherry Spiced Rum,6,1750,2,$103.98,3.50
INV-11224400045,03/30/2018,2585,Algona,50511,45278,Paramount White Rum,6,1750,1,$70.56,1.75
INV-11224400044,03/30/2018,2585,Algona,50511,43285,Captain Morgan Original Spiced Rum Pet,12,750,1,$163.08,0.75
INV-11224400043,03/30/2018,2585,Algona,50511,43337,Captain Morgan Spiced Rum,12,1000,1,$211.56,1.00
INV-11224400042,03/30/2018,2585,Algona,50511,73053,Rumchata,6,1000,1,$147.06,1.00
INV-11224400041,03/30/2018,2585,Algona,50511,64868,Fireball Cinnamon Whiskey,6,1750,1,$138.00,1.75
INV-11224400040,03/30/2018,2585,Algona,50511,64867,Fireball Cinnamon Whiskey,12,1000,1,$204.12,1.00
INV-11224400039,03/30/2018,2585,Algona,50511,64865,Fireball Cinnamon Whiskey PET,12,750,5,$161.64,3.75
INV-11224400038,03/30/2018,2585,Algona,50511,43120,Bacardi Superior PET,6,1750,10,$135.00,17.50
INV-11224400037,03/30/2018,2585,Algona,50511,11936,Canadian Ltd Whisky Convenience Pack,12,750,1,$72.12,0.75
INV-11224400036,03/30/2018,2585,Algona,50511,12668,Canadian Woods Canadian Why,6,1750,2,$85.44,3.50
INV-11224400035,03/30/2018,2585,Algona,50511,21598,Ten High,6,1750,1,$83.16,1.75
INV-11224400034,03/30/2018,2585,Algona,50511,20248,Old Crow,6,1750,1,$94.44,1.75
INV-11224400033,03/30/2018,2585,Algona,50511,23708,Fleischmann's Preferred Bl Whiskey,6,1750,1,$66.00,1.75
INV-11224400032,03/30/2018,2585,Algona,50511,55087,Paramount Blackberry Brandy,12,1000,1,$117.60,1.00
INV-11224400031,03/30/2018,2585,Algona,50511,17958,Evan Williams Yr Str Bourbon,6,1750,1,$139.50,1.75
INV-11224400030,03/30/2018,2585,Algona,50511,11786,Black Velvet Traveler,12,750,1,$94.20,0.75
INV-11224400029,03/30/2018,2585,Algona,50511,10548,Black Velvet Toasted Caramel,6,1750,1,$116.94,1.75
INV-11224400028,03/30/2018,2585,Algona,50511,86887,Southern Comfort,12,1000,1,$233.52,1.00
INV-11224400027,03/30/2018,2585,Algona,50511,25608,Seagrams 7 Crown Bl Whiskey,6,1750,2,$107.64,3.50
INV-11224400026,03/30/2018,2585,Algona,50511,25607,Seagrams 7 Crown Bl Whiskey,12,1000,1,$144.00,1.00
INV-11224400025,03/30/2018,2585,Algona,50511,26828,Jack Daniels Old #7 Black Lbl,6,1750,1,$276.12,1.75
INV-11224400024,03/30/2018,2585,Algona,50511,17086,Bulleit Bourbon,12,750,1,$270.00,0.75
INV-11224400023,03/30/2018,2585,Algona,50511,11296,Crown Royal,12,750,1,$280.68,0.75
INV-11224400022,03/30/2018,2585,Algona,50511,11298,Crown Royal Canadian Whisky,6,1750,1,$287.94,1.75
INV-11224400021,03/30/2018,2585,Algona,50511,10807,Crown Royal Regal Apple,12,750,1,$280.68,0.75
INV-11224400020,03/30/2018,2585,Algona,50511,6998,Clan Macgregor Scotch,6,1750,1,$101.28,1.75
INV-11224400019,03/30/2018,2585,Algona,50511,36978,Nikolai Vodka,6,1750,1,$62.28,1.75
INV-11224400018,03/30/2018,2585,Algona,50511,35318,Barton Vodka,6,1750,1,$62.28,1.75
INV-11224400017,03/30/2018,2585,Algona,50511,37356,Phillips Vodka Ez Pack,12,750,1,$64.32,0.75
INV-11224400016,03/30/2018,2585,Algona,50511,37348,Phillips Vodka,6,1750,1,$68.40,1.75
INV-11224400015,03/30/2018,2585,Algona,50511,36908,Mccormick Vodka Pet,6,1750,1,$67.26,1.75
INV-11224400014,03/30/2018,2585,Algona,50511,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,1,$64.62,1.75
INV-11224400013,03/30/2018,2585,Algona,50511,31658,Paramount Gin,6,1750,1,$64.02,1.75
INV-11224400012,03/30/2018,2585,Algona,50511,34821,Svedka Vodka,6,1750,1,$117.00,1.75
INV-11224400011,03/30/2018,2585,Algona,50511,4716,Chivas Regal 12 Yr,12,750,1,$332.88,0.75
INV-11224400010,03/30/2018,2585,Algona,50511,34007,Absolut Swedish Vodka 80 Prf,12,1000,1,$269.88,1.00
INV-11224400009,03/30/2018,2585,Algona,50511,34368,Fris Danish Vodka,6,1750,1,$76.44,1.75
INV-11224400008,03/30/2018,2585,Algona,50511,38006,Smirnoff PET 80prf,12,750,1,$148.56,0.75
INV-11224400007,03/30/2018,2585,Algona,50511,37338,UV Vodka PET,6,1750,1,$98.94,1.75
INV-11224400006,03/30/2018,2585,Algona,50511,31475,New Amsterdam Gin,12,750,1,$135.00,0.75
INV-11224400005,03/30/2018,2585,Algona,50511,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,2,$45.00,6.00
INV-11224400004,03/30/2018,2585,Algona,50511,64870,Fireball Cinnamon,48,100,4,$64.80,0.40
INV-11224400003,03/30/2018,2585,Algona,50511,64864,Fireball Cinnamon Whisky,24,375,1,$192.00,0.37
INV-11224400002,03/30/2018,2585,Algona,50511,35913,Five O'clock Vodka,48,200,1,$81.60,0.20
INV-11223700006,03/30/2018,3682,Wesley,50483,37997,Smirnoff 80prf,12,1000,1,$166.56,1.00
INV-11223700005,03/30/2018,3682,Wesley,50483,77843,Smirnoff Strawberry,12,1000,1,$166.56,1.00
INV-11223700004,03/30/2018,3682,Wesley,50483,38177,Titos Handmade Vodka,12,1000,1,$228.12,1.00
INV-11223700003,03/30/2018,3682,Wesley,50483,43137,Bacardi Limon,12,1000,1,$171.00,1.00
INV-11223700002,03/30/2018,3682,Wesley,50483,73054,Rumchata,6,1750,1,$219.06,1.75
INV-11223700001,03/30/2018,3682,Wesley,50483,1799,Captain Morgan Spiced Barrel,6,1750,1,$162.00,1.75
INV-11223600012,03/30/2018,4780,Britt,50423,86886,Southern Comfort,12,750,6,$15.50,4.50
INV-11223600011,03/30/2018,4780,Britt,50423,43338,Captain Morgan Spiced Rum,6,1750,2,$162.00,3.50
INV-11223600010,03/30/2018,4780,Britt,50423,43336,Captain Morgan Original Spiced,12,750,1,$163.08,0.75
INV-11223600009,03/30/2018,4780,Britt,50423,43334,Captain Morgan Spiced Rum,24,375,12,$7.50,4.50
INV-11223600008,03/30/2018,4780,Britt,50423,43244,Captain Morgan 100 Proof Spiced Rum,12,750,6,$15.74,4.50
INV-11223600007,03/30/2018,4780,Britt,50423,43026,Admiral Nelson Spiced Rum,12,750,1,$104.04,0.75
INV-11223600006,03/30/2018,4780,Britt,50423,43024,Admiral Nelson Spiced Rum,24,375,12,$4.11,4.50
INV-11223600005,03/30/2018,4780,Britt,50423,36904,Mccormick Vodka Pet,24,375,1,$64.80,0.37
INV-11223600004,03/30/2018,4780,Britt,50423,36903,Mccormick Vodka,48,200,24,$1.70,4.80
INV-11223600003,03/30/2018,4780,Britt,50423,26826,Jack Daniels Old #7 Black Lbl,12,750,6,$23.36,4.50
INV-11223600002,03/30/2018,4780,Britt,50423,11788,Black Velvet,6,1750,1,$94.08,1.75
INV-11223600001,03/30/2018,4780,Britt,50423,11774,Black Velvet,24,375,1,$110.64,0.37
INV-11223500043,03/30/2018,4463,Garner,50438,77824,Tooters Mellon Ball,12,375,1,$108.00,0.37
INV-11223500042,03/30/2018,4463,Garner,50438,77545,Tooters Apple-Tini Mini,12,375,1,$108.00,0.37
INV-11223500041,03/30/2018,4463,Garner,50438,72448,Tooters Blu-Dacious Kamikazi Mini,12,375,1,$108.00,0.37
INV-11223500040,03/30/2018,4463,Garner,50438,72364,Tooters Bahama Mama,12,375,1,$108.00,0.37
INV-11223500039,03/30/2018,4463,Garner,50438,43028,Admiral Nelson Spiced Rum,6,1750,1,$103.98,1.75
